Bandwidth MBps,Bandwidth Mbps,Bandwidth Gbps,Optimizer,#device,Time (ms),Size (MB) transferred,Mi,Energy (mi) - mJ,Mn,Energy (mn) - mJ
62.5,500,0.5,0.0000%,1,193.1996,0,0,1977,0,1977
93.75,750,0.75,8.7183%,4,176.356,1.979,358.614032114348,2335.61403211435,289.3595609936,2266.3595609936
125,1000,1,12.4780%,4,169.0922,5.1039,719.974299317931,2696.97429931793,618.533231548069,2595.53323154807
156.25,1250,1.25,15.0660%,5,164.0922,6.0073,708.458702588681,2685.45870258868,585.036652509504,2562.0366525095
187.5,1500,1.5,16.7913%,5,160.758866666667,6.0073,590.382252157234,2567.38225215723,525.686892747832,2502.68689274783
218.75,1750,1.75,18.9524%,5,156.583728571429,9.2544,779.570595922,2756.570595922,731.132948332879,2708.13294833288
250,2000,2,20.8009%,6,153.0123,9.2544,682.124271431913,2659.12427143191,581.06409744384,2558.06409744384
281.25,2250,2.25,22.2387%,6,150.234522222222,9.2544,606.332685717256,2583.33268571726,576.445822101988,2553.44582210199
312.5,2500,2.5,22.5481%,6,149.63678,9.13989,538.947165215925,2515.94716521593,484.370836684723,2461.37083668472
343.75,2750,2.75,22.6406%,6,149.4580454,9.7122,520.631157189191,2497.63115718919,440.407491474153,2417.40749147415
375,3000,3,22.6651%,6,149.4107,9.7122,477.245227423425,2454.24522742343,403.70686718464,2380.70686718464
