layername,priority
input,0
transform,1000.0
conv1,1000.0
bn1,1000.0
relu,1000.0
maxpool,1000.0
layer1,1000.0
layer2,1000.0
layer3,1000.0
layer4,1000.0
inner_3,1000.0
layer_3,1000.0
inner_2,833.3333333333333
interpolate__2,866.6666666666666
add__2,866.6666666666666
layer_2,866.6666666666666
inner_1,766.6666666666666
interpolate__1,800.0
add__1,800.0
layer_1,800.0
inner_0,700.0
interpolate__0,733.3333333333333
add__0,733.3333333333333
layer_0,733.3333333333333
extra,1000.0
rpn_parallel_f0,733.3333333333333
rpn_parallel_f1,800.0
rpn_parallel_f2,866.6666666666666
rpn_parallel_f3,933.3333333333333
rpn_parallel_f4,1000.0
rpn_merger,1000.0
box_roi_pool,666.6666666666666
fc6,666.6666666666666
fc7,666.6666666666666
cls_score,333.3333333333333
bbox_pred,666.6666666666666
postprocess_detections,1000.0
output,1000
